Ratio,Real_N,Classifier,AUC,F1
0%,88420,Logistic Regression,0.6647754140087662,0.40779345734445155
0%,88420,Naive Bayes,0.6360747865553,0.18716490658001625
0%,88420,Decision Tree,0.7156938080314207,0.4377281167957994
0%,88420,Random Forest,0.7106248646416035,0.26292852992446253
0%,88420,Gradient Boosting,0.7289769236535979,0.0066725978647686835
20%,70736,Logistic Regression,0.6652914647210815,0.40796581472224464
20%,70736,Naive Bayes,0.6384354065160568,0.17356608478802993
20%,70736,Decision Tree,0.7102432263407745,0.43656136716727084
20%,70736,Random Forest,0.7069400116474249,0.24854542742055796
20%,70736,Gradient Boosting,0.7293701486839608,0.01195219123505976
40%,53052,Logistic Regression,0.6650980520479192,0.4084722557783684
40%,53052,Naive Bayes,0.6365277800633791,0.18546690402977828
40%,53052,Decision Tree,0.705808004044194,0.437178166838311
40%,53052,Random Forest,0.7075342616735316,0.24192565508836075
40%,53052,Gradient Boosting,0.7289454077492656,0.007114273010226767
60%,35368,Logistic Regression,0.6636457427981206,0.409065428045167
60%,35368,Naive Bayes,0.6328896231764456,0.1965648854961832
60%,35368,Decision Tree,0.7005445178782793,0.432048298849129
60%,35368,Random Forest,0.7006967770276941,0.20800254048904415
60%,35368,Gradient Boosting,0.7286712244606895,0.011509517485613104
80%,17684,Logistic Regression,0.6633683215741678,0.4096983275986237
80%,17684,Naive Bayes,0.63638741873925,0.1632996632996633
80%,17684,Decision Tree,0.6663077066112595,0.4130392348233457
80%,17684,Random Forest,0.6934128636290313,0.1823941313771257
80%,17684,Gradient Boosting,0.7272717316508868,0.009308510638297872
