Seed,Ratio,Mode,Classifier,AUC,F1
42,0%,No-SLTE,Logistic Regression,0.6647754140087662,0.40779345734445155
42,0%,No-SLTE,Naive Bayes,0.6360747865553,0.18716490658001625
42,0%,No-SLTE,Decision Tree,0.7156938080314207,0.4377281167957994
42,0%,No-SLTE,Random Forest,0.7106248646416035,0.26292852992446253
42,0%,No-SLTE,Gradient Boosting,0.7289769236535979,0.0066725978647686835
42,0%,SLTE,Logistic Regression,0.6647754140087662,0.40779345734445155
42,0%,SLTE,Naive Bayes,0.6360747865553,0.18716490658001625
42,0%,SLTE,Decision Tree,0.7156938080314207,0.4377281167957994
42,0%,SLTE,Random Forest,0.7106248646416035,0.26292852992446253
42,0%,SLTE,Gradient Boosting,0.7289769236535979,0.0066725978647686835
42,20%,No-SLTE,Logistic Regression,0.6572778540152837,0.4078251952354658
42,20%,No-SLTE,Naive Bayes,0.6331033015157296,0.16228296372700704
42,20%,No-SLTE,Decision Tree,0.7140380929510425,0.4407696563595008
42,20%,No-SLTE,Random Forest,0.7038329396511827,0.23071046600458364
42,20%,No-SLTE,Gradient Boosting,0.7249659788225312,0.0022361359570661895
42,20%,SLTE,Logistic Regression,0.6541465292481814,0.41019607843137257
42,20%,SLTE,Naive Bayes,0.6263954549139212,0.2592643614822978
42,20%,SLTE,Decision Tree,0.7121406818670337,0.433349491032477
42,20%,SLTE,Random Forest,0.7040551889958753,0.2242731887401938
42,20%,SLTE,Gradient Boosting,0.7230041201267422,0.000893854748603352
42,40%,No-SLTE,Logistic Regression,0.6469654615655293,0.3941638608305275
42,40%,No-SLTE,Naive Bayes,0.6268618191904379,0.08825283243887895
42,40%,No-SLTE,Decision Tree,0.7057038187117822,0.43650302955360454
42,40%,No-SLTE,Random Forest,0.6992248052565989,0.19409962921167176
42,40%,No-SLTE,Gradient Boosting,0.7201576257416016,0.0
42,40%,SLTE,Logistic Regression,0.6424847177068895,0.38775365905394893
42,40%,SLTE,Naive Bayes,0.6182379275039729,0.30689083589865024
42,40%,SLTE,Decision Tree,0.7068612472821658,0.4346449305107606
42,40%,SLTE,Random Forest,0.6998167696812633,0.1969917515769044
42,40%,SLTE,Gradient Boosting,0.7183287827008618,0.0004478280340349306
42,60%,No-SLTE,Logistic Regression,0.6342187004151465,0.3786999211639074
42,60%,No-SLTE,Naive Bayes,0.6143147307216121,0.04425531914893617
42,60%,No-SLTE,Decision Tree,0.6969194905018531,0.4321461187214612
42,60%,No-SLTE,Random Forest,0.6919138138297376,0.18593048395143855
42,60%,No-SLTE,Gradient Boosting,0.7124896932072737,0.0
42,60%,SLTE,Logistic Regression,0.6359371806506874,0.3800205268559699
42,60%,SLTE,Naive Bayes,0.6157679161186301,0.30461354104254046
42,60%,SLTE,Decision Tree,0.6946113060475186,0.4323189926547744
42,60%,SLTE,Random Forest,0.693464905504094,0.17450579413769599
42,60%,SLTE,Gradient Boosting,0.7138926398148114,0.0022346368715083797
42,80%,No-SLTE,Logistic Regression,0.6109166889639785,0.3572912339011217
42,80%,No-SLTE,Naive Bayes,0.5882590901416829,0.041551833792664826
42,80%,No-SLTE,Decision Tree,0.6809487996325972,0.42509302173771135
42,80%,No-SLTE,Random Forest,0.6770434495881651,0.12615551930396954
42,80%,No-SLTE,Gradient Boosting,0.7019021016460799,0.0004478280340349306
42,80%,SLTE,Logistic Regression,0.6199905774810762,0.3629524485450674
42,80%,SLTE,Naive Bayes,0.6073281042327714,0.21948970181371041
42,80%,SLTE,Decision Tree,0.6854908166565694,0.4253056884635832
42,80%,SLTE,Random Forest,0.6854724366116375,0.10450038138825324
42,80%,SLTE,Gradient Boosting,0.7101582781538354,0.005802276277616604
42,100%,No-SLTE,Logistic Regression,0.5888105803741398,0.3405236738570072
42,100%,No-SLTE,Naive Bayes,0.5631504758215873,0.017872711421098517
42,100%,No-SLTE,Decision Tree,0.6468123262688947,0.3992775771047513
42,100%,No-SLTE,Random Forest,0.6359771469314632,0.04098530324984475
42,100%,No-SLTE,Gradient Boosting,0.6872562533039638,0.0008954555630176853
42,100%,SLTE,Logistic Regression,0.5961640712900422,0.3026882234765139
42,100%,SLTE,Naive Bayes,0.5986700935958871,0.09540705696826335
42,100%,SLTE,Decision Tree,0.6499058116343411,0.4043262730959892
42,100%,SLTE,Random Forest,0.6813767340604187,0.014124917236813066
42,100%,SLTE,Gradient Boosting,0.711374770474824,0.0004479283314669653
1,0%,No-SLTE,Logistic Regression,0.6647856103307561,0.4075677409010742
1,0%,No-SLTE,Naive Bayes,0.6360747865553,0.18716490658001625
1,0%,No-SLTE,Decision Tree,0.7155806199688833,0.43767206607337217
1,0%,No-SLTE,Random Forest,0.7108727000246642,0.25988041417529534
1,0%,No-SLTE,Gradient Boosting,0.7289848343741455,0.0066725978647686835
1,0%,SLTE,Logistic Regression,0.6647856103307561,0.4075677409010742
1,0%,SLTE,Naive Bayes,0.6360747865553,0.18716490658001625
1,0%,SLTE,Decision Tree,0.7155806199688833,0.43767206607337217
1,0%,SLTE,Random Forest,0.7108727000246642,0.25988041417529534
1,0%,SLTE,Gradient Boosting,0.7289848343741455,0.0066725978647686835
1,20%,No-SLTE,Logistic Regression,0.6585416392394494,0.4079657251666138
