Ratio,Mode,Classifier,AUC,F1,Precision,Recall,PosPreds
0%,No-SLTE,Logistic Regression,0.6647754140087662,0.40779345734445155,0.31755744255744256,0.569668458781362,8008
0%,No-SLTE,Naive Bayes,0.6360747865553,0.18716490658001625,0.34062684801892373,0.12903225806451613,1691
0%,No-SLTE,Decision Tree,0.7156938080314207,0.4377281167957994,0.30646462835111626,0.7656810035842294,11153
0%,No-SLTE,Random Forest,0.7106248646416035,0.26292852992446253,0.3739669421487603,0.20273297491039427,2420
0%,No-SLTE,Gradient Boosting,0.7289769236535979,0.0066725978647686835,0.46875,0.003360215053763441,32
0%,SLTE,Logistic Regression,0.6647754140087662,0.40779345734445155,0.31755744255744256,0.569668458781362,8008
0%,SLTE,Naive Bayes,0.6360747865553,0.18716490658001625,0.34062684801892373,0.12903225806451613,1691
0%,SLTE,Decision Tree,0.7156938080314207,0.4377281167957994,0.30646462835111626,0.7656810035842294,11153
0%,SLTE,Random Forest,0.7106248646416035,0.26292852992446253,0.3739669421487603,0.20273297491039427,2420
0%,SLTE,Gradient Boosting,0.7289769236535979,0.0066725978647686835,0.46875,0.003360215053763441,32
20%,No-SLTE,Logistic Regression,0.6579381896675375,0.4090945100213895,0.3164603505331536,0.578405017921147,8159
20%,No-SLTE,Naive Bayes,0.634100725287366,0.15126637554585154,0.34337827121332276,0.09699820788530467,1261
20%,No-SLTE,Decision Tree,0.7136471979643721,0.43698621670066135,0.30174989329918905,0.7918906810035843,11715
20%,No-SLTE,Random Forest,0.7039369599123791,0.2327150084317032,0.3686255463817387,0.1700268817204301,2059
20%,No-SLTE,Gradient Boosting,0.7251411955686556,0.0008954555630176853,0.6666666666666666,0.00044802867383512545,3
20%,SLTE,Logistic Regression,0.6541817402081787,0.4093880444199417,0.31568079679339245,0.5822132616487455,8233
20%,SLTE,Naive Bayes,0.6256840741627893,0.2667025862068966,0.3344594594594595,0.2217741935483871,2960
20%,SLTE,Decision Tree,0.7099085063584416,0.4347609561752988,0.3010344827586207,0.782258064516129,11600
20%,SLTE,Random Forest,0.7035466998149983,0.23215108245048366,0.3689604685212299,0.1693548387096774,2049
20%,SLTE,Gradient Boosting,0.7232437400423964,0.0013413816230717639,0.3333333333333333,0.0006720430107526882,9
