synthetic_ratio,n_synthetic,n_real,classifier,accuracy,f1,precision,recall,auc_roc
0.0,0,88420,Logistic Regression,0.6613,0.4105,0.3165,0.584,0.6659
0.0,0,88420,Naive Bayes,0.7665,0.2294,0.3439,0.172,0.6496
0.0,0,88420,Decision Tree,0.6054,0.4379,0.3073,0.7612,0.7154
0.0,0,88420,Random Forest,0.7751,0.2539,0.3845,0.1895,0.7135
0.0,0,88420,Gradient Boosting,0.798,0.0062,0.4828,0.0031,0.7298
0.2,17684,70736,Logistic Regression,0.6594,0.4081,0.3144,0.5815,0.6618
0.2,17684,70736,Naive Bayes,0.7711,0.2032,0.3422,0.1445,0.6478
0.2,17684,70736,Decision Tree,0.5867,0.4387,0.3022,0.8,0.7113
0.2,17684,70736,Random Forest,0.7782,0.2243,0.3818,0.1588,0.7066
0.2,17684,70736,Gradient Boosting,0.798,0.0004,0.3333,0.0002,0.7256
0.4,35368,53052,Logistic Regression,0.641,0.3985,0.3011,0.5889,0.6525
0.4,35368,53052,Naive Bayes,0.7816,0.1527,0.3528,0.0974,0.6424
0.4,35368,53052,Decision Tree,0.5884,0.4335,0.3002,0.7798,0.7074
0.4,35368,53052,Random Forest,0.7808,0.1942,0.3768,0.1308,0.704
0.4,35368,53052,Gradient Boosting,0.7981,0.0022,0.5,0.0011,0.7212
0.6,53052,35368,Logistic Regression,0.6149,0.3821,0.2826,0.5898,0.6399
0.6,53052,35368,Naive Bayes,0.7936,0.0799,0.4,0.0444,0.6326
0.6,53052,35368,Decision Tree,0.5823,0.43,0.2968,0.78,0.6953
0.6,53052,35368,Random Forest,0.7831,0.1568,0.3647,0.0999,0.6951
0.6,53052,35368,Gradient Boosting,0.798,0.0004,0.25,0.0002,0.7127
0.8,70736,17684,Logistic Regression,0.5918,0.3656,0.2664,0.5824,0.6196
0.8,70736,17684,Naive Bayes,0.7971,0.0406,0.4481,0.0213,0.6123
0.8,70736,17684,Decision Tree,0.6067,0.4211,0.2996,0.7086,0.6833
0.8,70736,17684,Random Forest,0.7856,0.1127,0.3432,0.0674,0.6801
0.8,70736,17684,Gradient Boosting,0.7981,0.0,0.0,0.0,0.7008
1.0,88420,0,Logistic Regression,0.5722,0.3466,0.2506,0.5618,0.5964
1.0,88420,0,Naive Bayes,0.7958,0.0221,0.3333,0.0114,0.5803
1.0,88420,0,Decision Tree,0.6106,0.3985,0.2896,0.6389,0.6467
1.0,88420,0,Random Forest,0.7914,0.0408,0.2857,0.022,0.6399
1.0,88420,0,Gradient Boosting,0.7981,0.0004,0.5,0.0002,0.6843
